room_type,availability_365,host_is_superhost,cleaning_fee,cost_per_one_night,property_type,accommodates,cancellation_policy,host_identity_verified,bedrooms,number_of_reviews,city,beds,security_deposit,zipcode,minimum_nights,bathroom_per_person,latitude,longitude,bedroom_per_person,price
1.0,0.0,0.0,0.0,165,0.0,1.0,1.0,0.0,1.0,27.0,0.0,1.0,0.0,2026.0,1.0,1.0,-33.88944576,151.2791616,1.0,165.0
1.0,0.0,0.0,0.0,74,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,2026.0,1.0,0.5,-33.88530638,151.275903,0.5,74.0
1.0,0.0,0.0,25.0,30,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,2.0,0.5,-33.88971831,151.2706999,0.5,60.0
0.0,187.0,0.0,75.0,17,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,7.0,0.5,-33.8881753,151.2724387,0.5,120.0
1.0,0.0,0.0,90.0,30,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,500.0,2026.0,3.0,0.5,-33.89386682,151.2714883,0.5,90.0
1.0,0.0,0.0,0.0,36,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2026.0,5.0,1.0,-33.88894818,151.2695984,1.0,180.0
0.0,89.0,0.0,100.0,95,0.0,4.0,2.0,1.0,1.0,4.0,0.0,1.0,200.0,2026.0,2.0,0.25,-33.88549979,151.2697246,0.25,190.0
0.0,0.0,0.0,50.0,298,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,1.0,0.3333333333333333,-33.89077803,151.2830685,0.3333333333333333,298.0
0.0,0.0,0.0,100.0,175,0.0,6.0,2.0,1.0,3.0,1.0,0.0,3.0,500.0,2026.0,2.0,0.3333333333333333,-33.89548401,151.2689361,0.5,350.0
0.0,0.0,0.0,0.0,14,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2026.0,7.0,0.25,-33.88829881,151.2692356,0.0,99.0
1.0,0.0,0.0,0.0,2,15.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,17.0,1.5,-33.89039391,151.2842311,1.0,49.0
0.0,364.0,0.0,40.0,32,0.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,200.0,2026.0,3.0,0.5,-33.88699297,151.2718699,0.5,98.0
0.0,0.0,0.0,100.0,100,0.0,2.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,2026.0,2.0,0.5,-33.89369162,151.2716671,0.5,200.0
0.0,0.0,0.0,0.0,100,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2026.0,2.0,0.5,-33.88747497,151.2813359,0.5,200.0
1.0,0.0,0.0,0.0,30,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,5.0,1.0,-33.89248891,151.2621229,1.0,150.0
