city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price,zipcode,state
Darlinghurst,151.2203761,-33.87498494,100.0,7,2,2,1.0,1.0,1.0,700.0,175.0,Apartment,Entire home/apt,0,0.0,1.0,strict_14_with_grace_period,175.0,2010.0,NSW
Vaucluse,151.2813782,-33.86007697,90.0,8,5,2,1.0,1.0,1.0,0.0,100.0,Apartment,Entire home/apt,365,0.0,0.0,moderate,150.0,2030,NSW
Palm Beach,151.3217441,-33.59790198,100.0,1,2,10,4.0,5.0,7.0,2000.0,500.0,House,Entire home/apt,344,0.0,0.0,strict_14_with_grace_period,1385.0,2108,NSW
Rose Bay,151.2707391,-33.86525762,,0,5,6,3.0,3.0,4.0,500.0,370.0,House,Entire home/apt,0,1.0,0.0,strict_14_with_grace_period,595.0,2029,NSW
Freshwater,151.2806176,-33.78147909,,0,2,3,1.0,2.0,2.0,0.0,0.0,Apartment,Entire home/apt,0,0.0,0.0,flexible,139.0,2096.0,NSW
Coogee,151.2494481,-33.92034007,91.0,11,5,4,1.0,2.0,2.0,0.0,0.0,Apartment,Entire home/apt,37,0.0,0.0,moderate,90.0,2034,NSW
Surry Hills,151.2166532,-33.88881174,98.0,19,9,2,1.0,1.0,1.0,999.0,149.0,Condominium,Entire home/apt,266,0.0,1.0,moderate,220.0,2010,NSW
Saint Peters,151.178458,-33.91304863,82.0,11,3,3,1.0,0.0,2.0,150.0,0.0,Cabin,Entire home/apt,85,1.0,0.0,moderate,89.0,2044.0,NSW
Kingsford,151.2264756,-33.91984254,,0,6,1,1.0,1.0,1.0,0.0,10.0,Villa,Private room,0,0.0,0.0,moderate,45.0,2032.0,NSW
Earlwood,151.1283602,-33.9197001,93.0,54,2,2,1.0,1.0,1.0,0.0,35.0,Apartment,Entire home/apt,139,0.0,0.0,moderate,94.0,2206,NSW
Darlinghurst,151.2187168,-33.8802414,94.0,27,3,4,2.0,2.0,2.0,400.0,230.0,Apartment,Entire home/apt,159,0.0,0.0,strict_14_with_grace_period,250.0,2010,NSW
Council of the City of Sydney,151.1910256,-33.89654214,91.0,7,9,1,2.5,1.0,1.0,0.0,40.0,Townhouse,Private room,270,1.0,0.0,strict_14_with_grace_period,69.0,2015.0,NSW
Fairlight,151.2706634,-33.79564073,100.0,6,2,1,2.0,1.0,1.0,400.0,20.0,Bed and breakfast,Private room,187,1.0,0.0,strict_14_with_grace_period,90.0,2094,NSW
Avalon Beach,151.3314991,-33.63094699,81.0,25,1,6,1.0,2.0,3.0,200.0,60.0,House,Entire home/apt,353,0.0,0.0,moderate,220.0,2107,NSW
Coogee,151.2564962,-33.91666232,100.0,2,3,4,1.0,2.0,3.0,500.0,140.0,Apartment,Entire home/apt,88,1.0,0.0,strict_14_with_grace_period,260.0,2034.0,NSW
South Coogee,151.2580964,-33.93303511,82.0,11,3,4,1.0,2.0,2.0,500.0,165.0,Apartment,Entire home/apt,341,1.0,0.0,moderate,179.0,2034,NSW
Rose Bay,151.2712652,-33.87355446,,0,5,8,2.5,4.0,5.0,0.0,0.0,House,Entire home/apt,0,0.0,0.0,flexible,850.0,2029,NSW
Wiley Park,151.0727093,-33.92659824,87.0,3,1,4,1.0,2.0,2.0,0.0,100.0,Apartment,Entire home/apt,0,1.0,0.0,flexible,95.0,2195,NSW
Elizabeth Bay,151.2261799,-33.87348321,93.0,3,1,2,1.0,0.0,1.0,150.0,75.0,Apartment,Entire home/apt,0,1.0,0.0,moderate,200.0,2011,NSW
Bondi Beach,151.2693468,-33.8868982,95.0,79,3,2,1.0,1.0,1.0,0.0,69.0,House,Private room,330,0.0,0.0,strict_14_with_grace_period,90.0,2026,NSW
Avalon Beach,151.3290474,-33.63290853,98.0,16,2,4,1.0,2.0,3.0,0.0,0.0,Apartment,Entire home/apt,196,0.0,0.0,strict_14_with_grace_period,220.0,2107,NSW
