city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price,zipcode
Bondi Beach,151.2795991,-33.8868032,92.0,14,1,2,1.0,1.0,1.0,0.0,55.0,Apartment,Private room,365,t,f,strict_14_with_grace_period,109.0,2026
Bondi Beach,151.2739091,-33.89114579,,11,1,8,2.0,1.0,8.0,0.0,0.0,Hostel,Shared room,69,t,f,strict_14_with_grace_period,27.0,2026
Bondi Beach,151.2719578,-33.8962963,,0,4,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,19,t,f,flexible,67.0,2026
Bondi Beach,151.2664281,-33.89505774,,0,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,t,f,moderate,78.0,2026
Bondi Beach,151.2699865,-33.89562727,,0,2,2,1.0,1.0,1.0,150.0,105.0,Apartment,Entire home/apt,0,f,t,strict_14_with_grace_period,189.0,2026
Bondi Beach,151.2725798,-33.89270496,94.0,16,2,2,1.0,1.0,1.0,500.0,110.0,Loft,Entire home/apt,295,t,f,strict_14_with_grace_period,179.0,2026
Bondi Beach,151.2450062,-33.89062661,100.0,1,2,2,1.0,1.0,1.0,0.0,100.0,Apartment,Entire home/apt,32,t,f,flexible,195.0,2022
Bondi Beach,151.2768143,-33.8862408,93.0,44,2,5,1.0,2.0,3.0,0.0,90.0,Apartment,Entire home/apt,152,f,f,moderate,240.0,2026
Bondi Beach,151.2723119,-33.88970902,100.0,3,2,2,1.0,1.0,1.0,350.0,50.0,Apartment,Entire home/apt,0,t,f,moderate,104.0,2026
Bondi Beach,151.2485677,-33.89506602,,0,7,4,1.5,2.0,2.0,800.0,150.0,Apartment,Entire home/apt,0,t,f,moderate,139.0,2022
Bondi Beach,151.2666057,-33.88659927,85.0,76,2,2,1.0,0.0,1.0,0.0,20.0,Apartment,Entire home/apt,0,t,f,moderate,115.0,2026
Bondi Beach,151.2707962,-33.88939279,,0,1,5,1.0,2.0,4.0,0.0,0.0,Apartment,Entire home/apt,0,t,f,flexible,150.0,2026
Bondi Beach,151.2648126,-33.89478381,96.0,111,1,2,1.0,0.0,1.0,145.0,80.0,Apartment,Entire home/apt,65,t,t,moderate,125.0,2026
Bondi Beach,151.2757912,-33.88835443,100.0,2,4,4,1.0,2.0,2.0,1000.0,185.0,Apartment,Entire home/apt,153,t,f,strict_14_with_grace_period,290.0,2026
Bondi Beach,151.2744329,-33.89470929,96.0,72,1,4,1.0,2.0,2.0,6588.0,200.0,Apartment,Entire home/apt,16,f,f,moderate,188.0,2026
Bondi Beach,151.2773818,-33.88641899,98.0,9,3,4,1.0,2.0,2.0,0.0,0.0,Apartment,Entire home/apt,80,f,f,flexible,150.0,2026
Bondi Beach,151.273416,-33.89312863,80.0,2,2,4,1.0,2.0,2.0,0.0,15.0,Apartment,Entire home/apt,55,f,f,flexible,152.0,2026
Bondi Beach,151.2792887,-33.88561228,98.0,52,1,9,1.5,2.0,6.0,180.0,95.0,Apartment,Entire home/apt,316,t,f,moderate,125.0,2026
Bondi Beach,151.2734554,-33.89112595,90.0,28,1,2,1.0,0.0,1.0,150.0,90.0,Apartment,Entire home/apt,90,f,f,moderate,124.0,2026
Bondi Beach,151.262353,-33.88970956,99.0,14,1,2,1.0,1.0,1.0,500.0,0.0,Apartment,Entire home/apt,129,f,f,strict_14_with_grace_period,185.0,2026
Bondi Beach,151.265497,-33.88926448,,0,13,6,2.0,3.0,3.0,0.0,0.0,House,Entire home/apt,89,f,f,flexible,349.0,2026
Bondi Beach,151.267288,-33.89130932,100.0,2,7,4,3.0,2.0,2.0,1000.0,120.0,House,Entire home/apt,0,f,f,flexible,390.0,2026
Bondi Beach,151.2755555,-33.88895879,100.0,1,2,2,1.0,1.0,1.0,0.0,49.0,Apartment,Entire home/apt,0,t,f,moderate,110.0,2026
Bondi Beach,151.260246,-33.89293764,100.0,3,3,5,1.0,2.0,3.0,500.0,100.0,Apartment,Entire home/apt,0,t,f,strict_14_with_grace_period,142.0,2026
Bondi Beach,151.2459427,-33.89549589,94.0,125,1,2,1.0,1.0,2.0,0.0,15.0,Townhouse,Private room,170,t,t,strict_14_with_grace_period,90.0,2022
Bondi Beach,151.2737193,-33.885208,100.0,1,5,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,t,f,flexible,71.0,2026
Bondi Beach,151.2696188,-33.89003392,60.0,1,4,4,1.0,2.0,2.0,0.0,35.0,Apartment,Entire home/apt,0,,,strict_14_with_grace_period,220.0,2026
Bondi Beach,151.2545362,-33.8930589,20.0,1,10,5,1.0,2.0,2.0,0.0,50.0,Apartment,Entire home/apt,0,f,f,flexible,139.0,2022
Bondi Beach,151.2721072,-33.88813856,100.0,26,1,4,1.0,1.0,1.0,139.0,69.0,Apartment,Entire home/apt,60,f,t,moderate,159.0,2026
Bondi Beach,151.2792638,-33.88785212,100.0,4,2,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,t,f,strict_14_with_grace_period,70.0,2026
Bondi Beach,151.2833203,-33.89207408,,0,3,4,1.0,2.0,2.0,400.0,80.0,Apartment,Entire home/apt,0,t,f,flexible,200.0,2026
Bondi Beach,151.2609329,-33.89631918,,0,3,2,1.0,1.0,1.0,1000.0,35.0,Apartment,Entire home/apt,0,f,f,flexible,325.0,2026
Bondi Beach,151.2647969,-33.89339188,100.0,1,3,1,1.0,1.0,1.0,150.0,40.0,Apartment,Private room,364,f,f,strict_14_with_grace_period,150.0,2026
Bondi Beach,151.2641462,-33.891696,90.0,5,1,2,1.0,1.0,1.0,0.0,40.0,Apartment,Entire home/apt,17,f,f,flexible,120.0,2026
Bondi Beach,151.277734,-33.88333349,,0,3,2,0.5,1.0,1.0,0.0,0.0,House,Private room,0,t,f,flexible,60.0,2026
Bondi Beach,151.2495466,-33.89253381,100.0,2,7,2,1.0,1.0,1.0,200.0,0.0,Apartment,Entire home/apt,32,t,f,strict_14_with_grace_period,139.0,2022
Bondi Beach,151.2680802,-33.89310106,98.0,78,2,2,1.5,1.0,1.0,200.0,35.0,Apartment,Private room,136,f,t,flexible,111.0,2026
Bondi Beach,151.2614066,-33.89245645,100.0,1,3,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,179,t,f,strict_14_with_grace_period,80.0,2026
